GT1,GT2,GT3,GT4,GT5
-9.180900454521179199e-01,1.892076015472412109e+00,6.128709793090820312e+00,-1.423360824584960938e+00,-1.306194782257080078e+00
-1.377023458480834961e-01,2.443982064723968506e-01,5.877291202545166016e+00,-6.164426803588867188e-01,-7.949562668800354004e-01
3.486638367176055908e-01,-8.161501288414001465e-01,6.097880363464355469e+00,2.323071509599685669e-01,2.264085561037063599e-01
6.485586166381835938e-01,-5.723996162414550781e-01,6.662906646728515625e+00,9.420041739940643311e-02,7.832209020853042603e-02
-9.108585119247436523e-01,5.836075171828269958e-02,5.144171237945556641e+00,-8.471921086311340332e-01,-9.876571297645568848e-01
2.229321748018264771e-01,-7.509036064147949219e-01,6.254740715026855469e+00,-3.994073569774627686e-01,-2.825739681720733643e-01
-7.941555976867675781e-01,-6.127593517303466797e-01,5.991137027740478516e+00,-7.275068759918212891e-01,-8.134759068489074707e-01
-4.402402341365814209e-01,9.310772418975830078e-01,7.888076782226562500e+00,-6.014369130134582520e-01,-8.015217185020446777e-01
-6.620615124702453613e-01,6.613177061080932617e-02,7.941365242004394531e+00,-9.182937145233154297e-01,-8.660821318626403809e-01
-6.844025850296020508e-01,4.556436240673065186e-01,5.276317119598388672e+00,-1.206716299057006836e+00,-9.834577441215515137e-01
-7.867429256439208984e-01,2.760635614395141602e-01,7.145384788513183594e+00,-9.709820747375488281e-01,-9.546683430671691895e-01
-3.504050374031066895e-01,9.942685961723327637e-01,6.171902656555175781e+00,-3.013598024845123291e-01,-5.009289979934692383e-01
2.211266458034515381e-01,-8.522152900695800781e-01,7.071009635925292969e+00,4.387277066707611084e-01,1.634841412305831909e-01
4.344820082187652588e-01,1.402310013771057129e+00,6.744060039520263672e+00,5.915854573249816895e-01,4.052189886569976807e-01
-3.477794528007507324e-01,-6.931005120277404785e-01,7.364839076995849609e+00,-6.723093390464782715e-01,-9.132120609283447266e-01
-5.104808807373046875e-01,-7.424607872962951660e-02,5.722652435302734375e+00,-7.679875493049621582e-01,-9.786448478698730469e-01
-9.772729873657226562e-01,-6.093259528279304504e-02,7.022168159484863281e+00,-1.329867005348205566e+00,-1.183812260627746582e+00
6.692147850990295410e-01,-2.695999741554260254e-01,6.765709400177001953e+00,4.798882603645324707e-01,5.378966331481933594e-01
-2.745634317398071289e-01,3.376609086990356445e-01,7.141880035400390625e+00,-4.113918542861938477e-01,-6.543263792991638184e-01
-1.949785947799682617e-01,-9.122577309608459473e-01,5.402429103851318359e+00,-4.744368493556976318e-01,-5.646566152572631836e-01
-9.732789397239685059e-01,-7.583925724029541016e-01,6.930260181427001953e+00,-1.282253503799438477e+00,-1.122836947441101074e+00
4.094436764717102051e-01,1.427074909210205078e+00,7.256416320800781250e+00,4.305938258767127991e-02,1.705171018838882446e-01
-3.055477440357208252e-01,1.712151885032653809e+00,6.190391063690185547e+00,-4.481692314147949219e-01,-6.547967195510864258e-01
2.013193815946578979e-01,-4.193577468395233154e-01,5.702572345733642578e+00,7.881656289100646973e-02,-1.082366053014993668e-02
-1.191892325878143311e-01,9.077305793762207031e-01,7.877239704132080078e+00,-2.296764850616455078e-01,-2.821368277072906494e-01
-6.554082036018371582e-02,1.476921737194061279e-01,5.574968814849853516e+00,-5.920115858316421509e-02,-1.182068064808845520e-01
2.432069629430770874e-01,-7.070033550262451172e-01,7.731870174407958984e+00,2.613664567470550537e-01,1.517998278141021729e-01
4.020215570926666260e-01,1.233428835868835449e+00,5.279516696929931641e+00,1.642502248287200928e-01,2.093230485916137695e-01
5.016852617263793945e-01,-5.603221654891967773e-01,6.199450969696044922e+00,2.927887737751007080e-01,4.723332822322845459e-01
-8.289983868598937988e-01,1.564684867858886719e+00,7.538404464721679688e+00,-8.824992179870605469e-01,-9.744225740432739258e-01
4.982687830924987793e-01,1.388723254203796387e+00,5.530833244323730469e+00,4.633290767669677734e-01,3.807476758956909180e-01
-5.362499356269836426e-01,-8.079926371574401855e-01,6.353821277618408203e+00,-1.135344386100769043e+00,-1.062788724899291992e+00
6.769235730171203613e-01,6.833098530769348145e-01,7.762930870056152344e+00,5.090926289558410645e-01,5.305593013763427734e-01
-8.115525245666503906e-01,1.170958206057548523e-01,5.097214221954345703e+00,-5.831293463706970215e-01,-8.568130135536193848e-01
-7.247639298439025879e-01,-6.097046732902526855e-01,6.429486274719238281e+00,-8.445618152618408203e-01,-1.023660421371459961e+00
-9.647639393806457520e-01,3.036431781947612762e-02,5.284530639648437500e+00,-1.004239439964294434e+00,-1.218981981277465820e+00
-2.401139140129089355e-01,1.430837988853454590e+00,7.659815311431884766e+00,-1.232236996293067932e-01,-2.759004235267639160e-01
-5.394543409347534180e-01,1.302172899246215820e+00,6.470967769622802734e+00,-7.101740241050720215e-01,-7.462023496627807617e-01
-7.257233262062072754e-01,1.514283180236816406e+00,6.966490268707275391e+00,-1.112317204475402832e+00,-1.166814088821411133e+00
-1.262961775064468384e-01,-5.171213150024414062e-01,7.013145923614501953e+00,4.773622378706932068e-03,-1.927220225334167480e-01
6.184897571802139282e-02,1.983176946640014648e+00,7.074330329895019531e+00,1.106936708092689514e-01,-8.512317389249801636e-02
5.158798694610595703e-01,-8.468233346939086914e-01,7.339762687683105469e+00,3.432148993015289307e-01,2.751086354255676270e-01
-2.122445255517959595e-01,1.245000064373016357e-01,7.791516304016113281e+00,-5.852009728550910950e-02,-2.684066295623779297e-01
-2.197867929935455322e-01,1.580176949501037598e+00,6.079961776733398438e+00,-5.014281868934631348e-01,-6.840733289718627930e-01
-9.524996280670166016e-01,-7.249259948730468750e-01,7.937551021575927734e+00,-1.124115109443664551e+00,-1.255545258522033691e+00
-9.911651611328125000e-01,-6.951698064804077148e-01,7.331957340240478516e+00,-1.129438042640686035e+00,-1.418397903442382812e+00
-5.102193355560302734e-01,1.179955825209617615e-01,6.341180324554443359e+00,-7.815021872520446777e-01,-8.303714990615844727e-01
9.793063253164291382e-02,7.249202132225036621e-01,7.309591770172119141e+00,3.586910068988800049e-01,9.066868573427200317e-02
-9.408199787139892578e-01,5.959663391113281250e-01,5.755752563476562500e+00,-8.624146580696105957e-01,-9.581115841865539551e-01
2.294521927833557129e-01,1.863079428672790527e+00,7.348711013793945312e+00,1.262972801923751831e-01,-6.712293718010187149e-03
6.528889536857604980e-01,1.846156120300292969e-01,7.383616447448730469e+00,5.877264738082885742e-01,5.718675255775451660e-01
3.713063895702362061e-01,7.995496392250061035e-01,6.313873767852783203e+00,-2.536206692457199097e-02,8.399010449647903442e-02
